Robert;m
Robin;m
Rodolphe;m
Roger;m
Roland;m
Rolande;f
Romain;m
Roman;m
Romane;f
Romaric;m
Roméo;m
Romuald;m
Rosa;f
Rosaire;f
Rosalie;f
Rose;f
Roseline;f
Roselyne;f
Roxane;f
Roxanne;f
Rozenn;f
Rudolph;m
Rudy;m
Sabine;f
Sabrina;f
Salomé;f
Samantha;f
Sandra;f
Sandrine;f
Sara;f
Sarah;f
Sarah;f
Sasha;f
Selene;f
Sélène;f
Séréna;f
Servane;f
Séverine;f
Shakira;f
Sibylle;f
Sidonie;f
Silvia;f
Simone;f
Soizic;f
Solane;f
Solange;f
Soleil;f
Solène;f
Solenn;f
Solenne;f
Sonia;f
Sophie;f
Stéphanie;f
Stévina;f
Susanne;f
Susie;f
Suzanne;f
Suzette;f
Suzie;f
Sylvaine;f
Sylvette;f
Sylviane;f
Sylvie;f
Syrielle;f
Tatalo;m
Tatiana;f
Van Gogh;m
